code,name,section,enabled,surgical,min_quantity,max_quantity,diagnosis_required,sex,scope,stay,coverage,odontology,priority
971100,SUSTITUCION DE ESCAYOLA O FERULA EN MIEMBRO SUPERIOR SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
971101,SUSTITUCION DE ESCAYOLA O FERULA EN MIEMBRO SUPERIOR,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
971200,SUSTITUCION DE ESCAYOLA O FERULA EN MIEMBRO INFERIOR SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
971201,SUSTITUCION DE ESCAYOLA O FERULA EN MIEMBRO INFERIOR,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
971400,SUSTITUCION DE OTRO DISPOSITIVO PARA INMOVILIZACION MUSCULOESQUELETICA SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
971401,SUSTITUCION DE OTRO DISPOSITIVO PARA INMOVILIZACION MUSCULOESQUELETICA,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
971500,SUSTITUCION DE CATETER DE HERIDA SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
971501,SUSTITUCION DE CATETER DE HERIDA,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
971600,SUSTITUCION DE TAPON O DRENAJE DE HERIDA SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
971601,SUSTITUCION DE TAPON O DRENAJE DE HERIDA,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
972100,SUSTITUCION DE TAPON NASAL SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
972101,SUSTITUCION DE TAPON NASAL,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
972200,SUSTITUCION DE TAPON DENTAL SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,1,0
972201,SUSTITUCION DE TAPON DENTAL,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,1,0
972300,SUSTITUCION DE TUBO DE TRAQUEOSTOMIA SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
972301,SUSTITUCION DE TUBO DE TRAQUEOSTOMIA,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
972400,SUSTITUCION DE DIAFRAGMA VAGINAL SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,F,Z,Z,,0,0
972401,SUSTITUCION DE DIAFRAGMA VAGINAL,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
972600,SUSTITUCION DE OTRO TAPON (MECHA) O DRENAJE VAGINAL O VULVAR SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,F,Z,Z,,0,0
972601,SUSTITUCION DE OTRO TAPON (MECHA) O DRENAJE VAGINAL O VULVAR,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
973100,EXTRACCION DE PROTESIS OCULAR SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
973101,EXTRACCION DE PROTESIS OCULAR,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
973200,EXTRACCION DE TAPON NASAL SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
973201,EXTRACCION DE TAPON NASAL,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
973300,EXTRACCION DE FERULAS DENTALES SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,1,0
973301,EXTRACCION DE FERULAS DENTALES,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,1,0
973400,EXTRACCION DE APARATOLOGIA ORTODONTICA FIJA SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
973401,EXTRACCION DE APARATOLOGIA ORTODONTICA FIJA,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
